[57; 'Tatort Zirkus'; ''; 'Die drei ???; Folge 57\nTatort Zirkus'; 'Veröffentlichungsdatum: 18.07.1994'; '']
[58; 'und der verrückte Maler'; ''; 'Die drei ???; Folge 58\nund der verrückte Maler'; 'Veröffentlichungsdatum: 18.07.1994'; '']
[59; 'Giftiges Wasser'; 'Die Nachricht trifft Justus; Peter und Bob wie eine Bombe: Ein Unbekannter droht; das gesamte Trinkwasser des verschlafenen Touristenstädtchens Sedona zu vergiften. Sollte das geplante Rockfestival nicht abgesagt werden? Die Polizei ist ratlos. Die drei ??? übernehmen den Fall und geraten bald in brenzlige Situationen. Da meldet sich der Erpresser erneut - das Ultimatum läuft ab!'; 'Die drei ???; Folge 59\nGiftiges Wasser'; 'Veröffentlichungsdatum: 10.08.1994'; '\x7fHitchcock; Erzähler - Peter Pasetti\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nRuth; Zeitungs-Journalistin - Hansi Jochmann\nJean Baxter; TV-Journalistin - Heidrun von Goessel\nVan Well; Pressechef - Ulrich Faulhaber\nSinagua; Indianerin - Samira Chanfir\nChosmo; Journalist - Mathias Bullach\nMonsieur Jaubert - Michael Poelchau\nRené Hancock - Thomas Schüler\nJoan Brown - Rebecca Völz\nHendrik Walton; Fabrikant - Karl Michael Mechel']
[60; 'Dopingmixer'; 'Sport läßt Justus normalerweise kalt. Besonders; wenn er an einem neuen Fall arbeitet. Aber was er da auf dem Sportplatz der Highschool von Rocky Beach erlebt; macht ihn stutzig. Einer der Jungs; die mit Peter für das Sportfest trainieren; läuft sensationell schnell! Und kaum versuchen die drei ??? der Sache auf den Grund zu gehen; taucht der Sprinter unter. Opfer gewinnsüchtiger Manager oder selbst ein gewiefter Dopingbetrüger? Wer hat da seine Finger im Spiel?'; 'Die drei ???; Folge 60\nDopingmixer'; 'Veröffentlichungsdatum: 11.08.1994'; 'Hitchcock; Erzähler - Peter Pasetti\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nMr. Andrews - Günter König\nTante Mathilda - Karin Lieneweg\nGlenn Miles - Christian Stark\nBenny - Tobias Pauls\nTom Descanso; Trainer - Prof. Justus Frantz\nField; Lehrer - Michael Quiatkowsky\nHutchins; Sport-Reporter - Uwe Büschken\nDr. Landman; Schuldirektor - Gerd Duwner\nStan - Tilman Madaus\nEleonore Sharp - Margot Linde']
[61; 'und die Rache des Tigers'; 'Ein Sprengsatz explodiert während der Einweihungsfeier eines Vergnügungsparks im ehemaligen Zoo von Rocky Beach. Steckt tatsächlich die Bürgerinitiative dahinter; die auf demselben Gelände eine Jugendfarm errichten möchte? Die drei Detektive Justus; Bob und Peter können nicht recht daran glauben und suchen die wahren Hintermänner des feigen Anschlags. Doch erst ein geheimnisvoller Brief setzt die drei ??? auf die richtige Spur und führt sie zum Thron des Tigers. Dort erwartet sie eine gefährliche Überraschung.'; 'Die drei ???; Folge 61\nund die Rache des Tigers'; 'Veröffentlichungsdatum: 27.02.1995'; 'Hitchcock; Erzähler Peter Pasetti\nJustus Jonas; Erster Detektiv Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv Jens Wawrczeck\nBob Andrews; Recherchen und Archiv Andreas Fröhlich\nMilton Mitchell - Holger Mahlich\nFred Hall - Thomas Thomé\nAnne - Janina Richter\nMorton - Andreas von der Meden\nKellner - Thomas Stein\nPortland - Wolfgang Völz\nInspektor Cotta - Willem Fricke\nCharlie - Anne Marr\nKundin - Ursula Sieg\nAdams - Hans Hessling']
[62; 'Spuk im Hotel'; 'Seltsame Dinge geschehen im Hotel der exzentrischen Amanda Black. Ein Unbekannter treibt seine Spielchen mit der ehemaligen Schauspielerin. Über Nacht verschwinden Erinnerungsstücke; die an denkbar merkwürdigen Stellen wieder auftauchen. Doch als schließlich ein Nebengebäude in Flammen aufgeht; sind sich Justus; Peter und Bob einig: Das ist bitterer Ernst! Die drei ??? entschließen sich; dem Täter eine Falle zu stellen.'; 'Die drei ???; Folge 62\nSpuk im Hotel'; 'Veröffentlichungsdatum: 28.02.1995'; 'Hitchcock; Erzähler - Peter Pasetti\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nAmanda Black - Beate Hasenau\nMrs. Silverstone - Barbara Ratthay\nMr. Garfield - Holger Mahlich [Utz Richter]\nMr. Hartford - Hans Hessling\nMrs. Hartford - Ursula Sieg\nMrs. Green - Monika Werner\nHenry - Lutz Schnell\nLys - Kerstin Draeger\nLinda - Janina Richter\nInspektor Cotta - Willem Fricke']
[63; 'Fußball-Gangster'; 'Welches Interesse könnte ein Lebensmittelkonzern daran haben; eine ganze Fußballmannschaft unter seine Kontrolle zu bringen? Jimboy; Justus Cousin; hat sich mächtig verändert; seit er Stürmer in dieser Elf ist. Und zwar nicht zu seinem Vorteil. Die drei ??? merken bald den Zusammenhang zwischen Jimboys Schweigsamkeit und seinen Erlebnissen im streng bewachten Trainingslager. Aber kaum haben sie Erfolg bei ihren Erkundigungen; schaltet sich Inspektor Cotta ein. Justus; Peter und Bob sollen die Finger von dem brandheißen Fall lassen. Das sehen die drei ??? entscheiden anders...'; 'Die drei ???; Folge 63\nFußball-Gangster'; 'Veröffentlichungsdatum: 28.08.1995'; 'Hitchcock; Erzähler - Peter Pasetti\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nTante Mathilda - Karin Lieneweg\nJimboy-Jonas - Frank Meyer-Brockmann\nMr. Bow - Klaus Sonnenschein\nEric Randolph - Achim Schülke\nOnkel Titus - Hans Meinhardt\nElizabeth - Verena Großer\nLys - Kerstin Draeger\nKelly - Juliane Szalay\nInspektor Cotta - Holger Mahlich\nTamara Mostowsky - Astrid Kollex']
[64; 'Geisterstadt'; 'Über Nacht wird aus harmlosen Skiferien in den Bergen eine gefährliche Suche im Kriminalfall Oames. Der Gastgeber der drei ???; der berühmte Spieleverleger Michael Julius Oames; ist entführt worden. Die Kidnapper fordern eine Million Dollar. Eine Menge Geld; finden Justus; Bob und Peter und beschließen; der Polizei von Lake Tahoe unter die Arme zu greifen. Kann Oames Vergangenheit Licht in die Sache bringen? Da stoßen sie auf eine heiße Spur. Sie führt direkt in eine Geisterstadt.'; 'Die drei ???; Folge 64\nGeisterstadt'; 'Veröffentlichungsdatum: 28.08.1995'; 'Hitchcock; Erzähler - Peter Pasetti\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nTante Mathilda - Karin Lieneweg\nMorton; Chauffeur - Andreas von der Meden\nInspektor Capistrano - Hans Sievers\nSergeant Hawthrone - Jürgen Kopp\nSimon Oames - Peter Kirchberger\nSilvie Oames - Edith Hancke\nMichael Julius Oames - Günther Jerschke\nMandy Taylor - Micaela Kreißler\nDeborah Street - Astrid Kollex\nGreenwater - Norman Messer']
[65; 'Diamantenschmuggel'; 'Ihren ersten Trip nach Europa haben sich Justus; Peter und Bob anders vorgestellt: Statt der erwarteten Vergnügungstour durch London werden sie in einen Diamantenschmuggel verwickelt und sogar - natürlich unfreiwillig und zunächst völlig ahnungslos - als Kuriere der heißen Ware benutzt. Schnell wird ihnen klar; daß die Reisegesellschaft; mit der sie einen Ausflug nach Rotterdam unternehmen; nicht nur aus erlebnishungrigen Touristen besteht. Welche Rolle spielt zum Beispiel der tolpatschige Mr. Thomas? Steckt er hinter den anonymen Briefen? Doch von solchen Einschüchterungsversuchen lassen sich die drei ??? bestimmt nicht abschrecken!'; 'Die drei ???; Folge 65\nDiamantenschmuggel'; 'Veröffentlichungsdatum: 04.12.1995'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nAlex Burlington - Klaus Sonnenschein\nRichard Applebloome - Tilman Madaus\nRobert Applebloome - Franz Rudnick\nMary - Edith Hancke\nElizabeth - Marianne Kehlau\nJohn Smith - Dirk Anton\nJenkins - Douglas Welbat\nThomas - Stephan Chreszinsky\nAndrew - Michael Rospat\nMrs. Rodriguez - Katja Brügger\nHoteldirektor - Hans Sievers\nBlondine - Veronika Neugebauer']
[66; 'und die Schattenmänner'; 'Aus einem harmlosen Ausflug nach Rom wird für die drei ??? ein ganz heißer Fall. Direkt vor ihren Augen ereignen sich dreiste Überfälle an sorglosen Spaziergängern. Die Geschwindigkeit und Routine der Diebstähle macht klar: Hier sind Profis am Werk. Keine Frage; daß Justus; Peter und Bob die Verfolgung aufnehmen. Als sie jedoch den wahren Drahtziehern auf die Spur kommen; wird die Situation für sie mehr als brenzlig...'; 'Die drei ???; Folge 66\nund die Schattenmänner'; 'Veröffentlichungsdatum: 04.12.1995'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nAlberto Bergamelli; Fotograf - Holger Mahlich\nAlexandra - Reinhilt Schneider\nIgnazio; Pensionswirt - Leonardo Cuseneza\nSofia; Pensionswirtin - Maria Chirivi\nFranca - Samira Chanfir\nItalienerin - Francesca Chiavon\n1. Italiener - Marcello Grassi\n2. Italiener - Luigi Pane']
